volume (ml),Absorbance (mAU),volume (mL),Buffer B Concentration (%)
2.278415,42.081253,22.779547,0
2.282066,42.028187,22.816053,0
2.285718,41.96822,22.852558,0
2.289369,41.858601,22.889065,0
2.29302,41.780174,22.92557,0
2.296672,41.776997,22.962076,0
2.300323,41.761215,22.998581,0
2.303974,41.731094,23.035088,0
2.307626,41.711643,23.071592,0
2.311277,41.697952,23.108099,0
2.314928,41.704399,23.144604,0
2.318579,41.714939,23.18111,0
2.322231,41.69558,23.217615,0
2.325882,41.672386,23.254122,0
2.329533,41.631798,23.290627,0
2.333185,41.612293,23.327133,0
2.336836,41.632885,23.363638,0
2.340487,41.663078,23.400143,0
2.344139,41.701958,23.436649,0
2.34779,41.754936,23.473154,0
2.351441,41.814034,23.509661,0
2.355093,41.71143,23.546165,0
2.358744,41.586685,23.582672,0
2.362395,41.484241,23.619177,0
2.366046,41.389328,23.655684,0
2.369698,41.319523,23.692188,0
2.373349,41.25766,23.728695,0
2.377,41.207352,23.7652,0
2.380652,41.16288,23.801706,0
2.384303,41.122528,23.838211,0
2.387954,41.055729,23.874718,0
2.391606,40.979748,23.911222,0
2.395257,40.852142,23.947729,0
2.398908,40.730835,23.984234,0
2.40256,40.712589,24.020741,0
2.406211,40.6908,24.057245,0
2.409862,40.659462,24.093752,0
2.413513,40.636162,24.130257,0
2.417165,40.622555,24.166763,0
2.420816,40.602467,24.203268,0
2.424467,40.578487,24.239775,0
2.428119,40.563278,24.276279,0
2.43177,40.550194,24.312786,0
2.435421,40.506973,24.349291,0
2.439073,40.471767,24.385798,0
2.442724,40.486797,24.422302,0
2.446375,40.510376,24.458809,0
2.450027,40.551853,24.495314,0
2.453678,40.587482,24.53182,0
2.457329,40.617271,24.568325,0
2.46098,40.542114,24.604832,0
2.464632,40.416653,24.641336,0
2.468283,40.304531,24.677843,0
2.471934,40.196854,24.714348,0
2.475586,40.149521,24.750854,0
2.479237,40.106251,24.787359,0
2.482888,40.078007,24.823866,0
2.48654,40.058075,24.860371,0
2.490191,40.051083,24.896877,0
2.493842,40.02821,24.933382,0
2.497494,39.992218,24.969889,0
2.501145,39.878071,25.006393,0
2.504796,39.733826,25.0429,0
2.508447,39.656597,25.079405,0
2.512099,39.59034,25.115911,0
2.51575,39.563244,25.152416,0
2.519401,39.547363,25.188923,0
2.523053,39.564159,25.225428,0
2.526704,39.568283,25.261934,0
2.530355,39.555767,25.298439,0
2.534007,39.521828,25.334946,0
2.537658,39.474072,25.37145,0
